Country,Approval of China Leadership,Approval of Germany Leadership,Approval of Russia Leadership,Approval of US Leadership,Confidence in Judicial System,Confidence in Military,Corruption in Government,Freedom of Media,Good place for Gay People,Good place for Minorities,Honesty of Elections,Move Away or Stay
Maldives (2017),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9905565969333251
Mali (2024),0.8111538062596266,0.9361171565242137,0.6811244012384505,0.911592878925282,0.986918707521241,0.9568196812925425,0.9908626642132901,0.999402478247438,0.8708301044934124,0.9977267840387869,0.9743192540417583,0.950156870709267
Malta (2024),0.9388965942980712,0.9851959690334524,0.9772909307901417,0.9537655444603773,0.9681473498736093,0.980160844711462,0.9930612620207311,0.9810918287829972,0.9750278975394294,0.9939540843587913,0.9949435750801415,0.9963121567882115
Mauritania (2024),0.9878493504041098,0.9918562488178998,0.9460788367176342,0.979184515671009,0.9957969681731829,0.99134751333871,0.9935697475636069,0.9909261259444263,0.8945908818898974,0.9753197222795962,0.9849575278959206,0.9839308233931527
Mauritius (2024),0.9994972936689893,0.9721376622257087,0.985756013522157,0.9888140808521626,0.9908352641477033,0.9911201628991806,0.9978177065024751,0.9858156837115725,0.9812879436302152,0.9928609222481866,0.9952363953280046,0.9943762433675977
Mexico (2024),0.9809149058227876,0.9583823305256123,0.9899222566664657,0.9702718413359162,0.9964737080288817,0.99095637626963,0.9949010970028116,0.972351568653523,0.9840406310718878,0.9852305156214357,0.9881597537279067,0.9824338873999822
Moldova (2024),0.9937482037169025,0.9857683972783552,0.9967650456324672,0.9952226901294347,0.9948752123509347,0.9852754435042677,0.9811067289755048,0.9854032376814906,0.9112904818120291,0.9773451828770157,0.9841908114725989,0.9869876608184435
Mongolia (2024),0.9787465816651104,0.9925131545280681,0.9882728988996919,0.9796128313377033,0.9973701739014699,0.9959389633825669,0.9937174583685179,0.9941424786058735,0.9733540698346016,0.9121064611576839,0.9846892374580944,0.960556564809844
Montenegro (2023),0.9718780619405024,0.9516315805227167,0.9617436189384273,0.9659324364151941,0.9922533167387065,0.9863691359236973,0.974054014753534,0.9690732821162081,0.9588723304102011,0.9930303666449972,0.9911835962547048,0.9931943525581877
Morocco (2024),0.9860889750588958,0.9982979205270157,0.9976977283140396,0.989532164044916,0.0,0.0,0.0,0.9565484239858513,0.0,0.0,0.0,0.9643382533722318
Mozambique (2023),0.9896784042771367,0.9988646289448874,0.9777594910198334,0.9949596681628695,0.9916041162449893,0.989363385775167,0.9985099110306613,0.9966442166076007,0.9290383971100062,0.9969610940130224,0.9934381884486815,0.9760669288566396
Myanmar (2024),0.9405577753990645,0.9652600009235768,0.9765830158873798,0.9791775350051036,0.9928665555785785,0.0,0.9746036095495354,0.9244953716867104,0.8104744464582562,0.9620050289173834,0.9772599870012143,0.9746298152673045
Namibia (2023),0.9716709495587147,0.9944487044187652,0.9647413606346363,0.9973214226231512,0.9931231294303787,0.9939992910011367,0.9915976551181972,0.9483548898584678,0.9579875755185774,0.993674869791833,0.985515302537817,0.9774779040122653
Nepal (2024),0.9950552904873592,0.9832308643206095,0.9789813842480242,0.996173031704511,0.9839608026536077,0.9843591583241068,0.9927979132968673,0.9831077761789206,0.776203278414143,0.9876272841476726,0.9936479597716439,0.9941726412218648
Netherlands (2024),0.9416755589825273,0.9901973472306315,0.9796375647208977,0.9775243192869022,0.9867074497225884,0.994150207295264,0.971494390090805,0.9821548707919524,0.9841289112466091,0.9956984288905991,0.9839653302993222,0.980258269038299
New Zealand (2024),0.9686936191322928,0.9857059588333895,0.9856490320665551,0.9687122764966677,0.992052150013573,0.9966073057237644,0.981365923118692,0.9943943961410848,0.9977713033707257,0.987542589110866,0.9909069186694638,0.9900108698947968
Nicaragua (2023),0.9858970342389308,0.9858903599278263,0.983218681568679,0.9640534234833694,0.9905563445605797,0.9915121228716425,0.9789702144960558,0.9918015032743257,0.981897609574709,0.9726355835788202,0.9954746648591069,0.9929341510689951
Niger (2024),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.880187541964689,0.9909003767970184,0.0,0.9762908731700364
